source_id,upstream_id,upstream_url,upstream_title,description,publisher,license,license_url,periodicity,eu_theme,attribution,upstream_landing_page,tags
ssb-06913,06913,https://www.ssb.no/statbank/table/06913,"06913: Endringer i kommuner, fylker og hele landets befolkning (K) 1951-2026","SSB statistikkbanktabell 06913 — Folkemengde 1. januar og endringer i kalenderåret (folketilvekst, fødsler, dødsfall, inn- og utflyttinger).",Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Statistisk sentralbyrå, tabell 06913",https://www.ssb.no/statbank/table/06913,"provider:ssb,topic:demographics,geo:kommune,cadence:annual"
ssb-06944,06944,https://www.ssb.no/statbank/table/06944,"06944: Inntekt for husholdninger, etter husholdningstype. Antall og median. Delområder (K) (B) 2005-2024","SSB statistikkbanktabell 06944 — Inntekt for husholdninger, etter husholdningstype. Median household income, income-tax, and household count per region × household type × year.",Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Statistisk sentralbyrå, tabell 06944",https://www.ssb.no/statbank/table/06944,"provider:ssb,topic:income,geo:kommune,cadence:annual"
ssb-06947,06947,https://www.ssb.no/statbank/table/06947,06947: Personer i husholdninger med lavinntekt (EU- og OECD-skala). Antall og prosent (K) (B) 2005-2024,SSB statistikkbanktabell 06947 — Personer i husholdninger med lavinntekt (EU- og OECD-skala). Whole-population complement to ssb-08764 (children only).,Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Statistisk sentralbyrå, tabell 06947",https://www.ssb.no/statbank/table/06947,"provider:ssb,topic:income,geo:kommune,cadence:annual"
ssb-07459,07459,https://www.ssb.no/statbank/table/07459,"07459: Alders- og kjønnsfordeling i kommuner, fylker og hele landets befolkning (K) 1986-2025","SSB statistikkbanktabell 07459 — Alders- og kjønnsfordeling i kommuner, fylker og hele landets befolkning.",Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Statistisk sentralbyrå, tabell 07459",https://www.ssb.no/statbank/table/07459,"provider:ssb,topic:demographics,geo:kommune,cadence:annual"
ssb-08764,08764,https://www.ssb.no/statbank/table/08764,08764: Personer under 18 år i husholdninger med lavinntekt (EU- og OECD-skala). Antall og prosent (K) (B) 2005-2024,Ingestion module for SSB statistikkbanktabell 08764 — Personer under 18 år i husholdninger med lavinntekt (EU- og OECD-skala).,Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Statistisk sentralbyrå, tabell 08764",https://www.ssb.no/statbank/table/08764,"provider:ssb,topic:income,geo:kommune,cadence:annual"
ssb-09429,09429,https://www.ssb.no/statbank/table/09429,"09429: Utdanningsnivå, etter kommune og kjønn (K) 1970-2024","SSB statistikkbanktabell 09429 — Utdanningsnivå, etter kommune og kjønn. Educational attainment distribution per kommune × education level × sex × year.",Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,EDUC,"Kilde: Statistisk sentralbyrå, tabell 09429",https://www.ssb.no/statbank/table/09429,"provider:ssb,topic:education,geo:kommune,cadence:annual"
ssb-12063,12063,https://www.ssb.no/statbank/table/12063,12063: Kommunale fritidstilbud (K) 2015-2024,SSB KOSTRA 12063 — Kommunale fritidstilbud. Municipal leisure services for children/youth and counts of volunteer youth associations receiving public support.,Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Statistisk sentralbyrå, tabell 12063",https://www.ssb.no/statbank/table/12063,"provider:ssb,topic:ngo-supply,geo:kommune,cadence:annual"
ssb-12131,12131,https://www.ssb.no/statbank/table/12131,12131: Stønadssatser for sosialhjelp og vedtakstidspunkt (K) 2015-2024,SSB KOSTRA 12131 — Stønadssatser for sosialhjelp. Monthly social-assistance rates set by each kommune. Same KOSTRA pattern as ssb-12292/12063.,Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Statistisk sentralbyrå, tabell 12131",https://www.ssb.no/statbank/table/12131,"provider:ssb,topic:social,geo:kommune,cadence:annual"
ssb-12132,12132,https://www.ssb.no/statbank/table/12132,12132: Utgifter som inngår i stønadssatsene for økonomisk sosialhjelp (K) 2015-2024,SSB KOSTRA 12132 — Utgifter som inngår i stønadssatsene for økonomisk sosialhjelp. Per-kommune rules showing whether child benefit / children's own income / cash-for-childcare are counted as income when calculating welfare payments. Structural-disadvantage proxy.,Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Statistisk sentralbyrå, tabell 12132",https://www.ssb.no/statbank/table/12132,"provider:ssb,topic:social,geo:kommune,cadence:annual"
ssb-12292,12292,https://www.ssb.no/statbank/table/12292,12292: Omsorgstjenester - supplerende grunnlagstall (K) 2015-2024,SSB KOSTRA 12292 — Omsorgstjenester (supplerende grunnlagstall). Nursing-home and home-care service indicators per kommune.,Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,HEAL,"Kilde: Statistisk sentralbyrå, tabell 12292",https://www.ssb.no/statbank/table/12292,"provider:ssb,topic:health,geo:kommune,cadence:annual"
ssb-12944,12944,https://www.ssb.no/statbank/table/12944,"12944: Personer i husholdninger med vedvarende lavinntekt (EU-skala 60 prosent), etter alder. Treårsperiode (K) (B) (2011-2013)-(2022-2024)","Ingestion module for SSB statistikkbanktabell 12944 — Personer i husholdninger med vedvarende lavinntekt (EU-60), 3-årsperiode.",Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Statistisk sentralbyrå, tabell 12944",https://www.ssb.no/statbank/table/12944,"provider:ssb,topic:income,geo:kommune,cadence:annual"
ssb-13995,13995,https://www.ssb.no/statbank/table/13995,"13995: Sosialhjelpstilfeller, utbetalt beløp og stønadstid (K) 2022-2024","SSB statistikkbanktabell 13995 — Sosialhjelpstilfeller, utbetalt beløp og stønadstid. Per-kommune counts of social-assistance cases and recipients, payouts, and support duration.",Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Statistisk sentralbyrå, tabell 13995",https://www.ssb.no/statbank/table/13995,"provider:ssb,topic:social,geo:kommune,cadence:annual"
ssb-klass-fylker,104,https://www.ssb.no/klass/klassifikasjoner/104,Standard for fylkesinndeling,SSB Klass classification 104 — Fylker. The canonical active-fylker list. Feeds dim_fylke.,Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,irregular,GOVE,"Kilde: Statistisk sentralbyrå, Klass (classification 104)",https://www.ssb.no/klass/klassifikasjoner/104,"provider:ssb,topic:reference,geo:fylke,cadence:irregular"
ssb-klass-kommuner,131,https://www.ssb.no/klass/klassifikasjoner/131,Standard for kommuneinndeling,"SSB Klass classification 131 — Kommuner. The canonical active-kommuner list. Sourced from SSB's classification registry (Klass), not from a statbank table.",Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,irregular,GOVE,"Kilde: Statistisk sentralbyrå, Klass (classification 131)",https://www.ssb.no/klass/klassifikasjoner/131,"provider:ssb,topic:reference,geo:kommune,cadence:irregular"
