source_id,code,meaning,value_format,notes
fhi-prognose,PROGNOSEAAR,Year being projected to (target year),4-digit year as text,"26 codes upstream (per-year out to ~2050+). Atlas keeps 3 horizons: 2030, 2040, 2050. Add intermediate years as a sibling source if 5-year resolution is needed."
fhi-prognose,MEASURE_TYPE,Which number,3 codes upstream; Atlas filters to 1,TELLER (count) only — RATE / SMR are derivable downstream from these counts.
fhi-selvmord,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,~409 codes
fhi-selvmord,AAR,5-year rolling window (year-of-death),"""YYYY1_YYYY5"" 5-year period label","31 rolling windows upstream, from 1990–1994 to ~2020–2024. Atlas pulls latest 3."
fhi-selvmord,KJONN,Sex,3 codes,"""0"" both, ""1"" men, ""2"" women — male suicide rates are markedly higher than female"
fhi-selvmord,ALDER,Age band,"""min_max"" range string","13 bands incl. 0_120 aggregate, 0_74, 15_24 (youth), 25_44, 45_74, 75+, etc."
fhi-selvmord,AARSAK,Cause of death,1 code (degenerate),"Always ""SELVMORD"" — table is pre-filtered to suicide. Stored for shape consistency with the wider FHI cause-of-death tables 342 / 343."
fhi-selvmord,MEASURE_TYPE,Which number,4 codes upstream; Atlas filters to 1,MEIS only (FHI's smoothed indicator that pools across geography to stabilise small-area estimates). Raw RATE / TELLER / SMR available upstream for analyses where pooling is inappropriate.
fhi-trangbodd,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,~409 codes
fhi-trangbodd,AAR,Year,"""YYYY_YYYY"" range string (single-year)","10 years, 2015_2015 through 2024_2024"
fhi-trangbodd,ALDER,Age band,text band code,9 age bands
fhi-trangbodd,UTDANN,Education level,5 codes,"""0"" (all education levels) + ""1""–""4"" (specific levels). Atlas filters to ""0"" at ingest to stay under the 50k-row cap."
fhi-trangbodd,BODD,Housing crowding status,2 codes,"trangt (overcrowded), uoppgitt (unknown)"
fhi-trangbodd,MEASURE_TYPE,Which number,3 codes,"RATE (percent — Atlas keeps only this), SMR (standardised ratio), TELLER (count)"
fhi-vgs-gjennomforing,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,~409 codes
fhi-vgs-gjennomforing,AAR,3-year rolling cohort,"""YYYY_YYYY"" range string",11 cohorts
fhi-vgs-gjennomforing,KJONN,Sex,3 codes,"""0"" both, ""1"" men, ""2"" women"
fhi-vgs-gjennomforing,UTDANN,Parents' education level,5 codes,Highest parental education at child's birth — proxy for socioeconomic context
fhi-vgs-gjennomforing,INNVKAT,Immigration category,1 code,Single category (collapsed in this slice)
fhi-vgs-gjennomforing,MEASURE_TYPE,Which number,4 codes,"TELLER (count), RATE (completion %), SMR (standardised ratio), MEIS"
frr,id,FRR resource UUID,text,Stable across snapshots; primary key
frr,ngo_orgnr,Owning NGO orgnr (Brreg),9-digit numeric,Resolved from atlas-ngo-landscape/landscape.json at ingest; sample-ngo uses synthetic 999999999
frr,sist_oppdatert,FRR-side last-updated timestamp,timestamptz,Per-resource freshness; max across run is captured as upstream_updated_at
frr,raw_payload,FRR record payload,jsonb,"Verbatim JSON from FRR — schema is FRR-managed, mirrored without flattening"
redcross-branches,branch_id,Branch UUID,text,Stable identifier across snapshots
redcross-branches,branch_type,Branch type,3 codes,"HQ (national), Distrikt (regional), Lokalforening (local chapter)"
redcross-branches,branch_name,Branch name,text,
redcross-branches,location,Location attributes,object,"kommune, county, region, postal/street addresses"
redcross-branches,branch_status,Operational status,"{is_active, is_terminated, creation_date}",
redcross-branches,parent,Parent branch reference,"{branch_id, branch_number, branch_name, branch_type}",HQ has no parent; Lokalforening points at its Distrikt
redcross-branches,activities,Per-branch activities,"list of {global_activity_name, local_activity_name}",~50 global activity types in the Red Cross catalogue; each branch lists its active subset
ssb-06083,Region,Region (kommune / fylke / nasjon / bydel / historical),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune, 6-digit bydel",~1051 codes
ssb-06083,FamilieType,Family type,9 codes,"Couple with/without children, single mother, single father, etc."
ssb-06083,ContentsCode,Statistic measure,1 code,Familier (family count)
ssb-06083,Tid,Year,4-digit year as text,2005–2025 (annual)
ssb-06913,Region,Region (kommune / fylke / nasjon / historical),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune",~1288 codes including historical variants going back decades
ssb-06913,ContentsCode,Statistic measure,8 codes,"Folkemengde, Levende (live births), Dode (deaths), Fodselsoverskudd (birth surplus), Innflyttinger (in-migration), Utflyttinger (out-migration), Nettoinnflytting (net migration), Folketilvekst (population growth)"
ssb-06913,Tid,Year,4-digit year as text,1951–2026 (76 years; later years are projections)
ssb-06944,Region,Region (kommune / fylke / nasjon / bydel / delområder),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune, 6-digit bydel/delområde",~3283 codes — includes bydeler (delområder) for fine-grained urban geography
ssb-06944,HusholdType,Household type,5 codes,0000 (all households) + 0001..0004 (specific household compositions)
ssb-06944,ContentsCode,Statistic measure,3 codes,"SamletInntekt (median total income, NOK), InntSkatt (income tax, NOK), AntallHushold (household count)"
ssb-06944,Tid,Year,4-digit year as text,2005–2024 (20 years; default response is latest year only)
ssb-06947,Region,Region (kommune / fylke / nasjon / bydel / historical),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune, 6-digit bydel",~1036 codes — bydeler exist for the 4 largest cities
ssb-06947,ContentsCode,Statistic measure,5 codes,"Same vocabulary as ssb-08764 — Personer, EUskala50, EUskala60, OECDskala50, OECDskala60. ssb-08764 is the under-18 slice; this is whole-population."
ssb-06947,Tid,Year,4-digit year as text,2005–2024
ssb-07459,Region,Region (kommune / fylke / nasjon),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune",~994 codes
ssb-07459,Kjonn,Sex,2 codes,"""1"" Menn (men), ""2"" Kvinner (women)"
ssb-07459,Alder,Single-year age,3-character text code,"""000"" through ""104"" + ""105+"" residual; 106 codes total"
ssb-07459,ContentsCode,Statistic measure,1 code,Personer1 (resident count)
ssb-07459,Tid,Year,4-digit year as text,1986–2026 (41 years; default response is latest year only). Largest pull in the catalogue at ~210 k cells when wildcarded.
ssb-08764,Region,Region (national / fylke / kommune / bydel / historical),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune, 6-digit bydel",~1036 codes when pulling full range
ssb-08764,ContentsCode,Statistic measure,5 codes,"Personer (count under 18), EUskala50/EUskala60 (% under 18 below 50%/60% of median, EU scale), OECDskala50/OECDskala60 (same, OECD scale). Samfunnspuls uses EUskala60."
ssb-08764,Tid,Year,4-digit year as text,2005–2024 (20 years); default v2-beta response is latest year only
ssb-09429,Region,Region (kommune / fylke / nasjon / bydel / historical),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune, 6-digit bydel",~979 codes
ssb-09429,Nivaa,Education level (NUS2000),7 codes,"Grunnskole (primary), videregående skole (upper-secondary), universitets-/høgskoleutdanning kort (1–4 years) and lang (5+ years), forskerutdanning (PhD), uoppgitt (unknown)"
ssb-09429,Kjonn,Sex,3 codes,"""0"" both, ""1"" men, ""2"" women"
ssb-09429,ContentsCode,Statistic measure,2 codes,Person count and percentage share at the given education level
ssb-09429,Tid,Year,4-digit year as text,1970–2024 (55 years)
ssb-12063,KOKkommuneregion0000,KOSTRA region (kommune / fylke / aggregate),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune; KOSTRA-specific codes for aggregates",~891 codes — mapped to region_code at ingest
ssb-12063,ContentsCode,Statistic measure,15 codes,Youth-centre count + capacity + voluntary-association counts receiving public support (kommunale fritidstilbud / frivillige ungdomsforeninger)
ssb-12063,Tid,Year,4-digit year as text,2015–2024
ssb-12131,KOKkommuneregion0000,KOSTRA region (kommune / fylke / aggregate),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune; KOSTRA-specific codes for aggregates",~891 codes — mapped to region_code at ingest
ssb-12131,ContentsCode,Statistic measure,Multiple codes,Monthly social-assistance rates (stønadssatser) by household composition
ssb-12131,Tid,Year,4-digit year as text,2015–2024
ssb-12132,KOKkommuneregion0000,KOSTRA region (kommune / fylke / aggregate),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune; KOSTRA-specific codes for aggregates",~891 codes — mapped to region_code at ingest
ssb-12132,ContentsCode,Statistic measure,Multiple codes,Per-kommune rules — whether child benefit / children's own income / cash-for-childcare are counted as income when calculating welfare payments
ssb-12132,Tid,Year,4-digit year as text,2015–2024
ssb-12292,KOKkommuneregion0000,KOSTRA region (kommune / fylke / aggregate),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune; KOSTRA-specific codes for aggregates",~891 codes — mapped to region_code at ingest
ssb-12292,ContentsCode,Statistic measure,49 codes,"Care-service indicators — nursing home + home-care metrics (capacity, staffing, recipients, costs)"
ssb-12292,Tid,Year,4-digit year as text,2015–2024
ssb-12944,Region,Region (kommune / fylke / nasjon / bydel / grunnkrets / historical),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune, 6-digit bydel",1036 codes
ssb-12944,Alder,Age band,6 codes,"999A (all ages), 00-17, 18-34, 35-49, 50-66, 067+"
ssb-12944,ContentsCode,Statistic measure,2 codes,"PersonerSeksti (count) and EUskalaSeksti (% below 60% of median, EU scale, 3-year persistent)"
ssb-12944,Tid,3-year rolling period,"""YYYY-YYYY"" period label",12 periods — 2011-2013 through 2022-2024
ssb-13995,KOKkommuneregion0000,KOSTRA region (kommune / fylke / aggregate),"Numeric code: 0 national, 2-digit fylke, 4-digit kommune; KOSTRA-specific codes for aggregates",~891 codes — mapped to region_code at ingest
ssb-13995,ContentsCode,Statistic measure,34 codes,"Cases, recipients, share of population, amounts paid, support duration (kr og stønadstid)"
ssb-13995,Tid,Year,4-digit year as text,2022–2025 (4 years)
ssb-klass-fylker,code,Fylke code,"2-digit numeric, zero-padded","16 codes — 15 real fylker (e.g. 03 Oslo, 11 Rogaland, 50 Trøndelag) + 99 Uoppgitt"
ssb-klass-fylker,name,Fylke name (bokmål),text,
ssb-klass-fylker,parent_code,Parent classification code,text or null,Always null (no parent level)
ssb-klass-fylker,level,Hierarchy level,text,"Always ""1"" (flat list)"
ssb-klass-fylker,valid_from / valid_to,Validity span,ISO date or null,Codes carry their own valid_from/valid_to plus the validFromInRequestedRange computed at fetch time
ssb-klass-kommuner,code,Kommune code,"4-digit numeric, zero-padded",~358 active codes — first 2 digits encode fylke (e.g. 0301 Oslo)
ssb-klass-kommuner,name,Kommune name (bokmål),text,
ssb-klass-kommuner,parent_code,Parent classification code,text or null,Typically null in a codesAt snapshot; fylke relationship is encoded in the first 2 digits of `code`
ssb-klass-kommuner,level,Hierarchy level,text,"Always ""1"" for this classification"
ssb-klass-kommuner,valid_from / valid_to,Validity span,ISO date or null,Both null in a codesAt snapshot; the historical range is captured in valid_from_in_range
ssb-klass-kommuner,notes,Free-text notes,text or null,"Boundary changes, Sámi name variants, etc."
